# Goxel 0.11.1
# One line per voxel
# X Y Z RRGGBB
25 19 1 38281c
26 19 1 38281c
27 19 1 38281c
30 19 1 38281c
31 19 1 38281c
25 20 1 38281c
26 20 1 38281c
27 20 1 38281c
30 20 1 38281c
31 20 1 38281c
25 21 1 38281c
26 21 1 38281c
27 21 1 38281c
30 21 1 38281c
31 21 1 38281c
25 22 1 000000
26 22 1 000000
27 22 1 000000
30 22 1 000000
31 22 1 000000
25 23 1 000000
26 23 1 000000
27 23 1 000000
30 23 1 000000
31 23 1 000000
25 27 1 000000
26 27 1 000000
27 27 1 000000
30 27 1 000000
31 27 1 000000
25 28 1 000000
26 28 1 000000
27 28 1 000000
30 28 1 000000
31 28 1 000000
25 29 1 000000
26 29 1 000000
27 29 1 000000
28 29 1 000000
29 29 1 000000
30 29 1 000000
31 29 1 000000
25 30 1 000000
26 30 1 000000
27 30 1 000000
28 30 1 000000
29 30 1 000000
30 30 1 000000
31 30 1 000000
25 31 1 000000
26 31 1 000000
27 31 1 000000
28 31 1 000000
29 31 1 000000
30 31 1 000000
31 31 1 000000
25 19 2 38281c
26 19 2 38281c
27 19 2 38281c
30 19 2 38281c
31 19 2 38281c
25 20 2 38281c
26 20 2 38281c
27 20 2 38281c
30 20 2 38281c
31 20 2 38281c
25 21 2 38281c
26 21 2 38281c
27 21 2 38281c
30 21 2 38281c
31 21 2 38281c
25 22 2 000000
26 22 2 000000
27 22 2 000000
30 22 2 000000
31 22 2 000000
25 23 2 000000
26 23 2 000000
27 23 2 000000
30 23 2 000000
31 23 2 000000
25 24 2 000000
26 24 2 000000
27 24 2 000000
30 24 2 000000
31 24 2 000000
25 25 2 000000
26 25 2 000000
27 25 2 000000
30 25 2 000000
31 25 2 000000
25 26 2 000000
26 26 2 000000
27 26 2 000000
30 26 2 000000
31 26 2 000000
25 27 2 000000
26 27 2 000000
27 27 2 000000
30 27 2 000000
31 27 2 000000
25 28 2 000000
26 28 2 000000
27 28 2 000000
30 28 2 000000
31 28 2 000000
25 29 2 000000
26 29 2 000000
27 29 2 000000
28 29 2 000000
29 29 2 000000
30 29 2 000000
31 29 2 000000
25 30 2 000000
26 30 2 000000
27 30 2 000000
28 30 2 000000
29 30 2 000000
30 30 2 000000
31 30 2 000000
25 31 2 000000
26 31 2 000000
27 31 2 000000
28 31 2 000000
29 31 2 000000
30 31 2 000000
31 31 2 000000
25 19 3 38281c
26 19 3 38281c
27 19 3 38281c
30 19 3 38281c
31 19 3 38281c
25 20 3 38281c
26 20 3 38281c
27 20 3 38281c
30 20 3 38281c
31 20 3 38281c
25 21 3 38281c
26 21 3 38281c
27 21 3 38281c
30 21 3 38281c
31 21 3 38281c
25 22 3 000000
26 22 3 000000
27 22 3 000000
30 22 3 000000
31 22 3 000000
25 23 3 000000
26 23 3 000000
27 23 3 000000
30 23 3 000000
31 23 3 000000
25 24 3 000000
26 24 3 000000
27 24 3 000000
30 24 3 000000
31 24 3 000000
25 25 3 000000
26 25 3 000000
27 25 3 000000
30 25 3 000000
31 25 3 000000
25 26 3 000000
26 26 3 000000
27 26 3 000000
30 26 3 000000
31 26 3 000000
25 27 3 000000
26 27 3 000000
27 27 3 000000
30 27 3 000000
31 27 3 000000
25 28 3 000000
26 28 3 000000
27 28 3 000000
30 28 3 000000
31 28 3 000000
25 29 3 000000
26 29 3 000000
27 29 3 000000
28 29 3 000000
29 29 3 000000
30 29 3 000000
31 29 3 000000
25 30 3 000000
26 30 3 000000
27 30 3 000000
28 30 3 000000
29 30 3 000000
30 30 3 000000
31 30 3 000000
25 31 3 000000
26 31 3 000000
27 31 3 000000
28 31 3 000000
29 31 3 000000
30 31 3 000000
31 31 3 000000
25 19 4 38281c
26 19 4 38281c
27 19 4 38281c
30 19 4 38281c
31 19 4 38281c
25 20 4 38281c
26 20 4 38281c
27 20 4 38281c
30 20 4 38281c
31 20 4 38281c
25 24 4 000000
26 24 4 000000
27 24 4 000000
30 24 4 000000
31 24 4 000000
25 25 4 000000
26 25 4 000000
27 25 4 000000
30 25 4 000000
31 25 4 000000
25 26 4 000000
26 26 4 000000
27 26 4 000000
30 26 4 000000
31 26 4 000000
25 27 4 000000
26 27 4 000000
27 27 4 000000
30 27 4 000000
31 27 4 000000
25 28 4 000000
26 28 4 000000
27 28 4 000000
30 28 4 000000
31 28 4 000000
25 29 4 000000
26 29 4 000000
27 29 4 000000
28 29 4 000000
29 29 4 000000
30 29 4 000000
31 29 4 000000
25 30 4 000000
26 30 4 000000
27 30 4 000000
28 30 4 000000
29 30 4 000000
30 30 4 000000
31 30 4 000000
25 31 4 000000
26 31 4 000000
27 31 4 000000
28 31 4 000000
29 31 4 000000
30 31 4 000000
31 31 4 000000
25 19 5 38281c
26 19 5 38281c
27 19 5 38281c
30 19 5 38281c
31 19 5 38281c
25 20 5 38281c
26 20 5 38281c
27 20 5 38281c
30 20 5 38281c
31 20 5 38281c
32 19 1 38281c
32 20 1 38281c
32 21 1 38281c
32 22 1 000000
32 23 1 000000
32 27 1 000000
32 28 1 000000
32 29 1 000000
32 30 1 000000
32 31 1 000000
32 19 2 38281c
32 20 2 38281c
32 21 2 38281c
32 22 2 000000
32 23 2 000000
32 24 2 000000
32 25 2 000000
32 26 2 000000
32 27 2 000000
32 28 2 000000
32 29 2 000000
32 30 2 000000
38 30 2 d8a46c
39 30 2 d8a46c
32 31 2 000000
37 31 2 000000
38 31 2 000000
39 31 2 d8a46c
32 19 3 38281c
32 20 3 38281c
32 21 3 38281c
32 22 3 000000
32 23 3 000000
32 24 3 000000
32 25 3 000000
32 26 3 000000
32 27 3 000000
32 28 3 000000
32 29 3 000000
32 30 3 000000
38 30 3 d8a46c
39 30 3 d8a46c
32 31 3 000000
37 31 3 000000
38 31 3 000000
39 31 3 d8a46c
32 19 4 38281c
32 20 4 38281c
32 24 4 000000
32 25 4 000000
32 26 4 000000
32 27 4 000000
32 28 4 000000
32 29 4 000000
32 30 4 000000
32 31 4 000000
32 19 5 38281c
32 20 5 38281c
26 38 0 d8a46c
27 38 0 d8a46c
28 38 0 d8a46c
29 38 0 d8a46c
30 38 0 d8a46c
31 38 0 d8a46c
26 39 0 d8a46c
27 39 0 d8a46c
28 39 0 d8a46c
29 39 0 d8a46c
30 39 0 d8a46c
31 39 0 d8a46c
26 40 0 000000
27 40 0 000000
28 40 0 000000
29 40 0 000000
30 40 0 000000
31 40 0 000000
26 41 0 000000
27 41 0 000000
28 41 0 000000
29 41 0 000000
30 41 0 000000
31 41 0 000000
26 42 0 000000
27 42 0 000000
28 42 0 000000
29 42 0 000000
30 42 0 000000
